Month,Day,Hour,GHI
12,1,0,0
12,1,1,0
12,1,2,0
12,1,3,0
12,1,4,0
12,1,5,0
12,1,6,0
12,1,7,0
12,1,8,54
12,1,9,242
12,1,10,316
12,1,11,425
12,1,12,445
12,1,13,399
12,1,14,272
12,1,15,213
12,1,16,104
12,1,17,32
12,1,18,0
12,1,19,0
12,1,20,0
12,1,21,0
12,1,22,0
12,1,23,0
12,2,0,0
12,2,1,0
12,2,2,0
12,2,3,0
12,2,4,0
12,2,5,0
12,2,6,0
12,2,7,0
12,2,8,35
12,2,9,123
12,2,10,393
12,2,11,388
12,2,12,389
12,2,13,325
12,2,14,317
12,2,15,369
12,2,16,209
12,2,17,66
12,2,18,0
12,2,19,0
12,2,20,0
12,2,21,0
12,2,22,0
12,2,23,0
12,3,0,0
12,3,1,0
12,3,2,0
12,3,3,0
12,3,4,0
12,3,5,0
12,3,6,0
12,3,7,0
12,3,8,64
12,3,9,235
12,3,10,392
12,3,11,506
12,3,12,563
12,3,13,374
12,3,14,363
12,3,15,226
12,3,16,125
12,3,17,66
12,3,18,0
12,3,19,0
12,3,20,0
12,3,21,0
12,3,22,0
12,3,23,0
12,4,0,0
12,4,1,0
12,4,2,0
12,4,3,0
12,4,4,0
12,4,5,0
12,4,6,0
12,4,7,0
12,4,8,61
12,4,9,231
12,4,10,300
12,4,11,370
12,4,12,455
12,4,13,245
12,4,14,364
12,4,15,231
12,4,16,121
12,4,17,65
12,4,18,0
12,4,19,0
12,4,20,0
12,4,21,0
12,4,22,0
12,4,23,0
12,5,0,0
12,5,1,0
12,5,2,0
12,5,3,0
12,5,4,0
12,5,5,0
12,5,6,0
12,5,7,0
12,5,8,4
12,5,9,103
12,5,10,239
12,5,11,289
12,5,12,381
12,5,13,276
12,5,14,179
12,5,15,147
12,5,16,123
12,5,17,38
12,5,18,0
12,5,19,0
12,5,20,0
12,5,21,0
12,5,22,0
12,5,23,0
12,6,0,0
12,6,1,0
12,6,2,0
12,6,3,0
12,6,4,0
12,6,5,0
